,,,,,,,,,sum(occupied_stations over steps) / sum(total_stations over steps),,,,,
Objective,Arch,Prompt,Model,Scenario,Seed,llm_calls,json_generation_failures,llm_missing_or_invalid_actions,charging_station_utilization_rate,elapsed_seconds,steps to first delivery,total deliveries,total steps,summary_json_path
,,,,small_balanced_2v2,0,574,NA,387,0.165322580645,5611.67533207,306,1,806,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_3b/small_balanced_2v2/language/summary.json
,,,,small_agv_heavy_4v2,0,2457,NA,580,0.157044242234,27384.2953832,411,18,3187,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_3b/small_agv_heavy_4v2/language/summary.json
,,,,medium_balanced_4v4,0,3292,NA,1193,0.180948098664,49822.2280526,261,16,3892,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_3b/medium_balanced_4v4/language/summary.json
,,,,medium_agv_heavy_6v2,0,2221,NA,554,0.15615981241,28856.3513865,50,19,2772,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_3b/medium_agv_heavy_6v2/language/summary.json
Calls,Centralized,Natural,mistral 7b,tiny_balanced_1v1,0,1220,NA,803,0.236063984489,38112.2118821,375,5,2063,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/tiny_balanced_1v1/language/summary.json
,,,,small_picker_heavy_2v4,0,674,NA,2690,0.281151596941,34329.4517858,51,2,741,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/small_picker_heavy_2v4/language/summary.json
,,,,small_balanced_2v2,0,1157,NA,1045,0.1978926097,33440.6471047,74,6,1732,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/small_balanced_2v2/language/summary.json
,,,,small_agv_heavy_4v2,0,500,NA,2958,0,29828.9495821,,0,500,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/small_agv_heavy_4v2/language/summary.json
,,,,medium_balanced_4v4,0,690,NA,4323,0.138583218707,39976.0180697,227,1,727,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/medium_balanced_4v4/language/summary.json
,,,,medium_agv_heavy_6v2,0,623,NA,3842,0.0969893292683,35785.4243054,76,3,656,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/medium_agv_heavy_6v2/language/summary.json
Calls,Shared,Json,llama 1b (3.2),tiny_balanced_1v1,0,856,0,0,0,855.490702868,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_1b/tiny_balanced_1v1/json/summary.json
,,,,small_picker_heavy_2v4,0,1673,0,0,0.0213333333333,1985.38535404,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_1b/small_picker_heavy_2v4/json/summary.json
,,,,small_balanced_2v2,0,826,0,0,0.187,858.972461462,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_1b/small_balanced_2v2/json/summary.json
,,,,small_agv_heavy_4v2,0,1603,0,0,0.0556666666667,1743.20202899,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_1b/small_agv_heavy_4v2/json/summary.json
,,,,medium_balanced_4v4,0,2207,0,0,0.243,3147.92402124,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_1b/medium_balanced_4v4/json/summary.json
,,,,medium_agv_heavy_6v2,0,1662,0,0,0.0935,2765.95587444,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_1b/medium_agv_heavy_6v2/json/summary.json
Calls,Shared,Json,llama 3b (3.2),tiny_balanced_1v1,0,658,0,0,0,1028.2259438,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_3b/tiny_balanced_1v1/json/summary.json
,,,,small_picker_heavy_2v4,0,1042,0,0,0.133666666667,1626.94286203,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_3b/small_picker_heavy_2v4/json/summary.json
,,,,small_balanced_2v2,0,603,0,0,0.1045,934.647487164,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_3b/small_balanced_2v2/json/summary.json
,,,,small_agv_heavy_4v2,0,1106,0,0,0.122666666667,1795.11854815,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_3b/small_agv_heavy_4v2/json/summary.json
,,,,medium_balanced_4v4,0,1040,0,0,0.173,1811.78774691,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_3b/medium_balanced_4v4/json/summary.json
,,,,medium_agv_heavy_6v2,0,1221,0,0,0.174,2114.17589664,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/llama3.2_3b/medium_agv_heavy_6v2/json/summary.json
Calls,Shared,Json,mistral 7b,tiny_balanced_1v1,0,904,0,0,0.046,1902.6979785,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/mistral_7b/tiny_balanced_1v1/json/summary.json
,,,,small_picker_heavy_2v4,0,2024,0,28,0.315,3633.57395315,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/mistral_7b/small_picker_heavy_2v4/json/summary.json
,,,,small_balanced_2v2,0,1403,1,9,0.117417677643,2777.16647553,77,1,577,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/mistral_7b/small_balanced_2v2/json/summary.json
,,,,small_agv_heavy_4v2,0,1578,0,55,0.229,3304.06099486,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/mistral_7b/small_agv_heavy_4v2/json/summary.json
,,,,medium_balanced_4v4,0,2015,0,220,0.12875,5557.14480662,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/mistral_7b/medium_balanced_4v4/json/summary.json
,,,,medium_agv_heavy_6v2,0,1875,0,694,0.23375,4482.10795069,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/mistral_7b/medium_agv_heavy_6v2/json/summary.json
Calls,Shared,Json,gemma 12b,tiny_balanced_1v1,0,1380,0,0,0.0832471561531,4071.74856949,35,6,967,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/gemma3_12b/tiny_balanced_1v1/json/summary.json
,,,,small_picker_heavy_2v4,0,2020,0,0,0.322333333333,5629.44874454,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/gemma3_12b/small_picker_heavy_2v4/json/summary.json
,,,,small_balanced_2v2,0,188,0,0,0.0945,640.121909142,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/gemma3_12b/small_balanced_2v2/json/summary.json
,,,,small_agv_heavy_4v2,0,3450,0,0,0.112258184524,11974.0565562,84,11,1792,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/gemma3_12b/small_agv_heavy_4v2/json/summary.json
,,,,medium_balanced_4v4,0,2454,0,0,0.1995,7934.17511344,,0,500,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/gemma3_12b/medium_balanced_4v4/json/summary.json
,,,,medium_agv_heavy_6v2,0,7974,0,1,0.15656390717,28404.2779999,125,9,2887,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/gemma3_12b/medium_agv_heavy_6v2/json/summary.json
Calls,Shared,Json,phi4,tiny_balanced_1v1,0,182,0,0,0.092523364486,701.393873453,35,1,535,Battery-TA-RWARE/results/calls/shared_context/json/session_20260401_121402/phi4/tiny_balanced_1v1/json/summary.json
