Objective,Arch,Prompt,Model,Scenario,num_runs,num_seeds,seeds,mean_total_deliveries,std_total_deliveries,mean_total_steps,std_total_steps,mean_deliveries_per_1000_steps,std_deliveries_per_1000_steps,mean_llm_calls_per_1000_steps,std_llm_calls_per_1000_steps,mean_llm_calls_per_delivery,std_llm_calls_per_delivery,mean_invalid_action_rate,std_invalid_action_rate,mean_json_failure_rate,std_json_failure_rate,mean_charging_station_utilization_rate,std_charging_station_utilization_rate,mean_steps_to_first_delivery,std_steps_to_first_delivery
Calls,Shared,Json,llama 3b (3.2),small_balanced_2v2,2,1,0,0,0,500,0,0,0,2169,1361.88766057,,,0,0,0,0,0.05225,0.073892658634,,
Calls,Shared,Json,llama 3b (3.2),small_agv_heavy_4v2,2,1,0,0,0,500,0,0,0,2940,1029.54747341,,,0,0,0,0,0.0613333333335,0.0867384318258,,
Calls,Shared,Json,llama 3b (3.2),medium_balanced_4v4,2,1,0,0,0,500,0,0,0,3737,2343.35187285,,,0,0,0,0,0.090375,0.116849395591,,
Calls,Shared,Json,llama 3b (3.2),medium_agv_heavy_6v2,2,1,0,0,0,500,0,0,0,2903,651.952452254,,,0,0,0,0,0.179,0.00707106781187,,
Calls,Shared,Json,mistral 7b,tiny_balanced_1v1,1,1,0,0,,500,,0,,1808,,,,0,,0,,0.046,,,
Calls,Shared,Json,mistral 7b,small_picker_heavy_2v4,1,1,0,0,,500,,0,,4048,,,,0.0138339920949,,0,,0.315,,,
Calls,Shared,Json,mistral 7b,small_balanced_2v2,1,1,0,1,,577,,1.73310225303,,2431.54246101,,1403,,0.0064148253742,,0.000712758374911,,0.117417677643,,77,
Calls,Shared,Json,mistral 7b,small_agv_heavy_4v2,1,1,0,0,,500,,0,,3156,,,,0.0348542458809,,0,,0.229,,,
Calls,Shared,Json,mistral 7b,medium_balanced_4v4,1,1,0,0,,500,,0,,4030,,,,0.109181141439,,0,,0.12875,,,
Calls,Shared,Json,mistral 7b,medium_agv_heavy_6v2,1,1,0,0,,500,,0,,3750,,,,0.370133333333,,0,,0.23375,,,
Calls,Shared,Json,gemma 12b,tiny_balanced_1v1,1,1,0,6,,967,,6.20475698035,,1427.09410548,,230,,0,,0,,0.0832471561531,,35,
Calls,Shared,Json,gemma 12b,small_picker_heavy_2v4,1,1,0,0,,500,,0,,4040,,,,0,,0,,0.322333333333,,,
Calls,Shared,Json,gemma 12b,small_balanced_2v2,1,1,0,0,,500,,0,,376,,,,0,,0,,0.0945,,,
Calls,Shared,Json,gemma 12b,small_agv_heavy_4v2,1,1,0,11,,1792,,6.13839285714,,1925.22321429,,313.636363636,,0,,0,,0.112258184524,,84,
Calls,Shared,Json,gemma 12b,medium_balanced_4v4,1,1,0,0,,500,,0,,4908,,,,0,,0,,0.1995,,,
Calls,Shared,Json,gemma 12b,medium_agv_heavy_6v2,1,1,0,9,,2887,,3.11742293038,,2762.03671631,,886,,0.000125407574618,,0,,0.15656390717,,125,
Calls,Shared,Json,phi4,tiny_balanced_1v1,1,1,0,1,,535,,1.8691588785,,340.186915888,,182,,0,,0,,0.092523364486,,35,
Calls,Shared,Json,phi4,small_picker_heavy_2v4,1,1,0,5,,1135,,4.40528634361,,922.466960352,,209.4,,0,,0,,0.145668135095,,24,
Calls,Shared,Json,phi4,small_balanced_2v2,1,1,0,0,,500,,0,,296,,,,0,,0,,0.116,,,
Calls,Shared,Json,phi4,small_agv_heavy_4v2,1,1,0,10,,1192,,8.38926174497,,844.798657718,,100.7,,0,,0,,0.086129753915,,41,
