Objective,Arch,Prompt,Model,Scenario,Seed,Run,llm_calls,json_generation_failures,llm_missing_or_invalid_actions,charging_station_utilization_rate,elapsed_seconds,steps to first delivery,total deliveries,total steps,deliveries_per_1000_steps,llm_calls_per_1000_steps,llm_calls_per_delivery,invalid_action_rate,json_failure_rate,summary_json_path
Battery + Shelf,Shared,Json,llama 3b (3.2),medium_balanced_4v4,0,session_cps_20260618,2717,0,0,0.146179039301,12210.8362787,46,7,1145,6.1135371179,2372.92576419,388.142857143,0,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/llama3.2_3b/medium_balanced_4v4/json/summary.json
Battery + Shelf,Shared,Json,llama 3b (3.2),medium_agv_heavy_6v2,0,session_cps_20260618,848,0,0,0.0644003378378,4176.18474245,40,3,592,5.06756756757,1432.43243243,282.666666667,0,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/llama3.2_3b/medium_agv_heavy_6v2/json/summary.json
Battery + Shelf,Shared,Json,mistral 7b,tiny_balanced_1v1,0,session_cps_20260618,243,0,1,0.0758426966292,428.785202265,34,1,534,1.87265917603,455.056179775,243,0.00411522633745,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/mistral_7b/tiny_balanced_1v1/json/summary.json
Battery + Shelf,Shared,Json,mistral 7b,small_picker_heavy_2v4,0,session_cps_20260618,2166,0,28,0.446808510638,4310.32383299,24,4,705,5.67375886525,3072.34042553,541.5,0.0129270544783,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/mistral_7b/small_picker_heavy_2v4/json/summary.json
Battery + Shelf,Shared,Json,mistral 7b,small_balanced_2v2,0,session_cps_20260618,139,0,0,0.094,330.54473424,,0,500,0,278,,0,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/mistral_7b/small_balanced_2v2/json/summary.json
Battery + Shelf,Shared,Json,mistral 7b,small_agv_heavy_4v2,0,session_cps_20260618,990,0,0,0.146756978654,2773.81998849,41,6,812,7.38916256158,1219.21182266,165,0,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/mistral_7b/small_agv_heavy_4v2/json/summary.json
Battery + Shelf,Shared,Json,mistral 7b,medium_balanced_4v4,0,session_cps_20260618,1224,0,7,0.123210023866,4329.18594337,46,7,838,8.35322195704,1460.62052506,174.857142857,0.00571895424837,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/mistral_7b/medium_balanced_4v4/json/summary.json
Battery + Shelf,Shared,Json,mistral 7b,medium_agv_heavy_6v2,0,session_cps_20260618,608,0,3,0.0756622516556,2338.45288014,39,5,755,6.62251655629,805.298013245,121.6,0.00493421052632,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/mistral_7b/medium_agv_heavy_6v2/json/summary.json
Battery + Shelf,Shared,Json,gemma 12b,tiny_balanced_1v1,0,session_cps_20260618,1687,0,0,0.0843220338983,5413.00906515,35,6,1180,5.08474576271,1429.66101695,281.166666667,0,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/gemma3_12b/tiny_balanced_1v1/json/summary.json
Battery + Shelf,Shared,Json,gemma 12b,small_picker_heavy_2v4,0,session_cps_20260618,2021,0,0,0.322333333333,6094.14487839,,0,500,0,4042,,0,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/gemma3_12b/small_picker_heavy_2v4/json/summary.json
